74374.19908;297422422.1;297422422.1;297422422.1
86749.59258;346911620.7;346911620.7;346911620.7
97444.83332;389681888.4;389681888.4;389681888.4
105314.2468;421151673;421151673;421151673
111798.2662;447081266.5;447081266.5;447081266.5
118983.8516;475816422.5;475816422.5;475816422.5
128957.963;515702894;515702894;515702894
143057.581;572087266.4;572087266.4;572087266.4
159619.7686;638319454.6;638319454.6;638319454.6
176231.6088;704750203.6;704750203.6;704750203.6
190480.1852;761730260.6;761730260.6;761730260.6
200675.9838;802503259.2;802503259.2;802503259.2
208023.1019;831884384.5;831884384.5;831884384.5
214449.0394;857581708.6;857581708.6;857581708.6
221881.2963;887303303.9;887303303.9;887303303.9
231781.4005;926893820.6;926893820.6;926893820.6
243746.9908;974744216.2;974744216.2;974744216.2
256909.7338;1027382025;1027382025;1027382025
270401.2963;1081334784;1081334784;1081334784
283476.1432;1133621097;1133621097;1133621097
295879.9329;1183223852;1183223852;1183223852
307481.1218;1229617006;1229617006;1229617006
318148.1667;1272274519;1272274519;1272274519
329320.4922;1316952648;1316952648;1316952648
348721.3958;1394536862;1394536862;1394536862
385645.1432;1542194928;1542194928;1542194928
449386;1797094614;1797094614;1797094614
546184.5469;2184192003;2184192003;2184192003
670066.625;2679596433;2679596433;2679596433
812004.3906;3247205558;3247205558;3247205558
1000000;3999000000;3999000000;3999000000
1222222.222;4887666666;4887666666;4887666666
1444444.444;5776333332;5776333332;5776333332
1666666.667;6665000001;6665000001;6665000001
1888888.889;7553666667;7553666667;7553666667
2111111.111;8442333333;8442333333;8442333333
2333333.333;9330999999;9330999999;9330999999
2555555.556;10219666668;10219666668;10219666668
2777777.778;11108333334;11108333334;11108333334
3000000;11997000000;11997000000;11997000000
