      0.0000000	      0.0000000
      1.1638564	      2.3277127
      1.3545617	      2.7091233
      1.5765152	      3.1530304
      1.8348373	      3.6696745
      2.1354870	      4.2709741
      2.4854002	      4.9708004
      2.8926489	      5.7852977
      3.3666278	      6.7332556
      3.9182712	      7.8365424
      4.5603049	      9.1206098
      5.3075399	     10.6150798
      6.1772142	     12.3544283
      7.1893900	     14.3787801
      8.3674174	     16.7348348
      9.7384721	     19.4769441
     11.3341827	     22.6683655
     13.1913608	     26.3827216
     15.3528493	     30.7056986
     17.8685114	     35.7370229
     20.7963809	     41.5927618
     24.2040004	     48.4080008
     28.1699800	     56.3399601
     32.7858107	     65.5716215
     38.1579747	     76.3159494
     44.4104019	     88.8208038
     51.6873292	    103.3746584
     60.1566274	    120.3132547
     70.0136740	    140.0273480
     81.4858605	    162.9717210
     94.8378379	    189.6756758
    110.3776218	    220.7552436
    128.4636983	    256.9273966
    149.5132937	    299.0265873
    174.0119993	    348.0239987
    202.5249740	    405.0499480
    235.7099812	    471.4199624
    274.3325632	    548.6651265
    319.2837014	    638.5674028
    371.6003699	    743.2007399
    432.4894579	    864.9789158
    503.3556108	   1006.7112216
    585.8336343	   1171.6672686
    681.8262074	   1363.6524149
    793.5477752	   1587.0955504
    923.5756336	   1847.1512672
   1074.9093849	   2149.8187698
   1251.0401355	   2502.0802710
   1456.0310316	   2912.0620633
   1694.6109920	   3389.2219841
   1972.2837988	   3944.5675977
   2295.4550640	   4590.9101280
   2671.5799998	   5343.1599996
   3109.3354024	   6218.6708049
   3618.8198166	   7237.6396332
   4211.7864978	   8423.5729956
   4901.9145472	   9803.8290945
   5705.1244742	  11410.2489483
   6639.9454646	  13279.8909292
   7727.9428297	  15455.8856594
   8994.2154944	  17988.4309887
  10467.9750021	  20935.9500042
  12183.2193940	  24366.4387879
  14179.5175066	  28359.0350133
  16502.9217828	  33005.8435656
  19207.0306512	  38414.0613024
  22354.2249846	  44708.4499692
  26017.1071592	  52034.2143184
  30280.1759130	  60560.3518261
  35241.7756407	  70483.5512814
  41016.3650923	  82032.7301847
  47737.1578135	  95474.3156270
  55559.1952378	 111118.3904756
  64662.9233255	 129325.8466510
  75258.3552570	 150516.7105141
  87589.9162103	 175179.8324206
 101942.0819858	 203884.1639716
 118645.9415562	 237291.8831123
 138086.8349315	 276173.6698631
 160713.2425375	 321426.4850750
 187047.1311746	 374094.2623492
 217695.9952287	 435391.9904575
 253366.8709113	 506733.7418225
 294882.6468209	 589765.2936419
 343201.0470957	 686402.0941915
 399436.7250750	 798873.4501500
 464886.9771488	 929773.9542977
 541061.6699854	1082123.3399708
 629718.0715253	1259436.1430506
 732901.3892562	1465802.7785123
 852991.9509417	1671126.9024649
 992760.1162139	1671126.9024649
1155430.1857796	1671126.9024649
1344754.7825572	1671126.9024649
1565101.4206369	1671126.9024649
1821553.2591166	1671126.9024649
2120026.3650953	1671126.9024649
2467406.1909554	1671126.9024649
2871706.4143167	1671126.9024649
3342253.8049298	1671126.9024649
